PATH  Rmax= 4.964,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
     1    2  12.000  index, nleg, degeneracy, r=  2.4573
      x           y           z     ipot  label      rleg      beta        eta
    1.737570   -1.737570    0.000000   1 'Ni    '     2.4573  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ni    '     2.4573  180.0000    0.0000
     2    2   6.000  index, nleg, degeneracy, r=  3.4752
      x           y           z     ipot  label      rleg      beta        eta
    0.000000   -3.475150    0.000000   1 'Ni    '     3.4752  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ni    '     3.4752  180.0000    0.0000
     3    3  48.000  index, nleg, degeneracy, r=  3.6859
      x           y           z     ipot  label      rleg      beta        eta
   -1.737570    0.000000    1.737570   1 'Ni    '     2.4573  120.0000    0.0000
   -1.737570   -1.737570    0.000000   1 'Ni    '     2.4573  120.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ni    '     2.4573  120.0000    0.0000
     4    3  48.000  index, nleg, degeneracy, r=  4.1949
      x           y           z     ipot  label      rleg      beta        eta
    3.475150    0.000000    0.000000   1 'Ni    '     3.4752  135.0002    0.0000
    1.737570    1.737570    0.000000   1 'Ni    '     2.4573   89.9998    0.0000
    0.000000    0.000000    0.000000   0 'Ni    '     2.4573  135.0000    0.0000
     5    2  24.000  index, nleg, degeneracy, r=  4.2562
      x           y           z     ipot  label      rleg      beta        eta
   -3.475150    1.737570    1.737570   1 'Ni    '     4.2562  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ni    '     4.2562  180.0000    0.0000
     6    3  48.000  index, nleg, degeneracy, r=  4.5854
      x           y           z     ipot  label      rleg      beta        eta
    1.737570    0.000000    1.737570   1 'Ni    '     2.4573  150.0000    0.0000
   -1.737570    1.737570    0.000000   1 'Ni    '     4.2562  150.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ni    '     2.4573   60.0000    0.0000
     7    3  96.000  index, nleg, degeneracy, r=  4.5854
      x           y           z     ipot  label      rleg      beta        eta
    1.737570    1.737570    3.475150   1 'Ni    '     4.2562  150.0001    0.0000
   -0.000000    1.737570    1.737570   1 'Ni    '     2.4573   59.9999    0.0000
    0.000000    0.000000    0.000000   0 'Ni    '     2.4573  150.0000    0.0000
     8    2  12.000  index, nleg, degeneracy, r=  4.9146
      x           y           z     ipot  label      rleg      beta        eta
    3.475150    3.475150    0.000000   1 'Ni    '     4.9146  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ni    '     4.9146  180.0000    0.0000
     9    3  12.000  index, nleg, degeneracy, r=  4.9146
      x           y           z     ipot  label      rleg      beta        eta
   -1.737570    0.000000    1.737570   1 'Ni    '     2.4573  180.0000    0.0000
    1.737570    0.000000   -1.737570   1 'Ni    '     4.9146  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ni    '     2.4573    0.0000    0.0000
    10    3  24.000  index, nleg, degeneracy, r=  4.9146
      x           y           z     ipot  label      rleg      beta        eta
    3.475150    0.000000   -3.475150   1 'Ni    '     4.9146  180.0000    0.0000
    1.737570    0.000000   -1.737570   1 'Ni    '     2.4573    0.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ni    '     2.4573  180.0000    0.0000
    11    4  12.000  index, nleg, degeneracy, r=  4.9146
      x           y           z     ipot  label      rleg      beta        eta
    1.737570    0.000000   -1.737570   1 'Ni    '     2.4573  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ni    '     2.4573    0.0000    0.0000
   -1.737570    0.000000    1.737570   1 'Ni    '     2.4573  180.0000    0.0000
